									
									
	28	1996-09-06	A	DC United	2-1	W	13-15	De Avila (Ramos) 18; Joseph (De Avila) 30	Tony Meola, Nicola Caricola, Cristian da Silva, Rhett Harty, Peter Vermes, Jeff Zaun, Roberto Donadoni, Ian Hennessy (Rob Johnson 46), Tab Ramos (A.J. Wood 76), Antony De Avila, Miles Joseph (Ted Gillen 70)
	29	1996-09-10	H	Los Angeles	3-1	W	14-15	Joseph (Ramos, Wood) 23; Joseph (Ramos) 35; De Avila (unassisted) 56	Tony Meola, Cristian da Silva (Ian Hennessy 80), Rhett Harty, Peter Vermes, Jeff Zaun, Roberto Donadoni, Tab Ramos, Chris Unger, Antony De Avila (Giovanni Savarese 82), Miles Joseph, A.J. Wood (Ted Gillen 84)
	30	1996-09-15	A	Columbus	0-2	L	14-16		Tony Meola, Nicola Caricola, Cristian da Silva, Rhett Harty (Ian Hennessy 48), Peter Vermes, Jeff Zaun, Tab Ramos, Chris Unger (Matt Knowles 18), Antony De Avila, Miles Joseph, A.J. Wood (Giovanni Savarese 28)
	31	1996-09-18	H	Columbus	1-0	W	15-16	De Avila (unassisted) 9	Tony Meola, Nicola Caricola (Matt Knowles 39), Cristian da Silva (Damian Silvera 79), Rhett Harty, Peter Vermes, Jeff Zaun, Roberto Donadoni, Tab Ramos, Antony De Avila, Miles Joseph, A.J. Wood (Rob Johnson 85)
	32	1996-09-21	A	Tampa Bay	1-4	L	15-17	Savarese (pk) 74	Zach Thornton, Cristian da Silva (sent off 68), Ted Gillen, Rhett Harty, Matt Knowles, Ian Hennessy (A.J. Wood 58), Louis Ken-Kwofie, Damian Silvera, Chris Unger (Travis Rinker 80), Rob Johnson, Giovanni Savarese
	P-QF	1996-09-24	H	DC United	2-2	W		De Avila (Donadoni) 38; Savarese (Joseph, De Avila) 75	Tony Meola, Jeff Zaun, Peter Vermes, Rhett Harty (Giovanni Savarese 74), Ted Gillen (Matt Knowles 33), Damian Silvera, Roberto Donadoni, Miles Joseph, Tab Ramos, A.J. Wood (Rob Johnson 74), Antony De Avila
	P-QF	1996-09-27	A	DC United	0-1	L			Tony Meola, Jeff Zaun, Nicola Caricola, Rhett Harty (Matt Knowles 59), Peter Vermes, Cristian da Silva (Giovanni Savarese 70), Roberto Donadoni, Tab Ramos, Miles Joseph, A.J. Wood (Rob Johnson 22), Antony De Avila
	P-QF	1996-10-02	A	DC United	1-2	L		De Avila (Donadoni) 86	Tony Meola, Jeff Zaun (Damian Silvera 31), Nicola Caricola (Rob Johnson 74), Rhett Harty (Cristian da Silva 50), Matt Knowles, Peter Vermes, Roberto Donadoni, Tab Ramos, Miles Joseph, Giovanni Savarese, Antony De Avila
	1	1997-03-22	A	San Jose	0-0	L	0-1		Tony Meola, Kerry Zavagnin, Rhett Harty, Andrew Lewis, Cristian da Silva, Roberto Donadoni, Carlos Parra, Braeden Cloutier, Miles Joseph (Rob Johnson 71), A.J. Wood (Antony De Avila 46), Giovanni Savarese 
	2	1997-03-29	A	Tampa Bay	1-2	L	0-2	Sorber (Wood, da Silva) 33 	Tony Meola, Rhett Harty, Andrew Lewis, Cristian da Silva, Kerry Zavagnin (Miles Joseph 46), Roberto Donadoni, Braeden Cloutier, Carlos Parra, Mike Sorber, A.J. Wood (Rob Johnson 80), Giovanni Savarese 
	3	1997-04-05	A	DC United	1-2	L	0-3	De Avila (unassisted) 77 	Tony Meola, Rhett Harty, Cristian da Silva, Andrew Lewis, Kerry Zavagnin (Jeff Zaun 59), Carlos Parra (A.J. Wood 74), Roberto Donadoni, Mike Sorber, Braeden Cloutier, Giovanni Savarese (Miles Joseph 58), Antony De Avila 
	4	1997-04-12	H	New England	3-1	W	1-3	Savarese (Donadoni) 17; Savarese (De Avila) 55; Wood (De Avila, Joseph) 82	Tony Meola, Kerry Zavagnin, Cristian da Silva (Jeff Zaun 14), Rhett Harty, Andrew Lewis, Guido, Roberto Donadoni, Mike Sorber, Braeden Cloutier (Miles Joseph 58), Antony De Avila, Giovanni Savarese (A.J. Wood 74) 
	5	1997-04-19	H	DC United	1-2	L	1-4	Savarese (Joseph, De Avila) 45	Tony Meola, Kerry Zavagnin (Andrew Lewis 75), Joao Luiz, Rhett Harty, John DeBrito (Jeff Zaun 46), Guido, Roberto Donadoni, Braeden Cloutier (A.J. Wood 64), Miles Joseph, Antony De Avila, Giovanni Savarese 
	6	1997-04-26	H	Columbus	2-1	W	2-4	Wood (Joseph, Echeverry) 6; Sorber (Harty, Donadoni) 17	Tony Meola, Jeff Zaun, Rhett Harty, John DeBrito, Joao Luiz (Ezra Hendrickson 46), Roberto Donadoni, Mike Sorber, Guido, Miles Joseph (Braeden Cloutier 42), A.J. Wood, Gerson Echeverry (Kerry Zavagnin 74) 
	7	1997-05-04	H	Los Angeles	0-0	W	3-4		Tony Meola, Jeff Zaun (Kerry Zavagnin 60), Rhett Harty, Joao Luiz, John DeBrito, Guido, Mike Sorber, Roberto Donadoni, Cristian da Silva (Braeden Cloutier 46), Antony De Avila, A.J. Wood (Giovanni Savarese 59) 
	8	1997-05-09	H	San Jose	0-1	L	3-5		Tony Meola, John DeBrito, Rhett Harty, Joao Luiz, Kerry Zavagnin (Jeff Zaun 75), Braeden Cloutier (Cristian da Silva 18, A.J. Wood 58), Roberto Donadoni, Guido, Mike Sorber, Antony De Avila, Giovanni Savarese 
	9	1997-05-11	A	Columbus	0-3	L	3-6		Tony Meola, Rhett Harty, Jeff Zaun (Cristian da Silva 57), Joao Luiz, Kerry Zavagnin, Mike Sorber (Zach Thornton 73), Roberto Donadoni, John DeBrito (Marco Rizi 57), Guido, Giovanni Savarese (A.J. Wood 57), Antony De Avila 
	10	1997-05-18	H	Kansas City	1-0	W	4-6	De Avila (Kelly, Savarese) 18	Tony Meola, Andrew Lewis, Joao Luiz, Rhett Harty, Guido, Roberto Donadoni (Miles Joseph 58), Brian Kelly, Jeff Zaun (Kerry Zavagnin 69), JohnDeBrito, Giovanni Savarese (A.J. Wood 69), Antony De Avila
	11	1997-05-25	H	Tampa Bay	3-2	W	5-6	Savarese (Donadoni) 12; Donadoni (unassisted) 27; Sorber (Donadoni) 84	Tony Meola, Rhett Harty, Joao Luiz, Andrew Lewis, Kerry Zavagnin, Guido (Ezra Hendrickson 72), Mike Sorber, Roberto Donadoni, John DeBrito (Brian Kelly 46), Antony De Avila, Giovanni Savarese (Miles Joseph 67) 
	12	1997-05-30	A	New England	1-3	L	5-7	Savarese (Guido) 31 	Tony Meola, Rhett Harty, Ezra Hendrickson, Andrew Lewis, Jeff Zaun, Mike Sorber, John DeBrito (Brian Kelly 61), Guido, Roberto Donadoni (Miles Joseph 73), Giovanni Savarese, Antony De Avila
	13	1997-06-13	H	Colorado	1-3	L	5-8	Savarese (Cloutier, De Avila) 16 	Tony Meola, Rhett Harty, Ezra Hendrickson, Andrew Lewis (Miles Joseph 60), Roberto Donadoni, Manuel Lagos, Mike Sorber, Braeden Cloutier, Brian Kelly, Antony De Avila (A.J. Wood 60), Giovanni Savarese
	14	1997-06-15	A	Dallas	1-3	L	5-9	Joseph (Donadoni, Lewis) 54	Zach Thornton, Rhett Harty, Andrew Lewis, Ezra Hendrickson, Manuel Lagos, Braeden Cloutier (Kerry Zavagnin 55), Roberto Donadoni, Brian Kelly (Cristian da Silva 80), Mike Sorber (A.J. Wood 69), Miles Joseph, Giovanni Savarese 
